Osnovni kazalniki demografije podjetij po: KOHEZIJSKA IN STATISTIÈNA;;;;;;;;;;;
REGIJA, KAZALNIK , LETO (t);;;;;;;;;;;
;;;;;;;;;;;
 ;V16911 Število zaposlenih v podjetjih; ; ; ; ; ; ; ; ; ; 
Podatki o novonastalih podjetjih brez predhodnika, podjetjih, ki so ;;;;;;;;;;;
prenehala poslovati in podatki o preživelih podjetjih za èasovno ;;;;;;;;;;;
vrsto od 2004 do 2007, ki so bili izvorno objavljeni na osnovi ;;;;;;;;;;;
Standardne klasifikacije dejavnosti 2002 (SKD 2002), so bili ;;;;;;;;;;;
preraèunani še po doloèilih nove razlièice Standardne klasifikacije ;;;;;;;;;;;
dejavnosti SKD 2008, in sicer s pomoèjo prevajalnih matrik. Osnova za ;;;;;;;;;;;
izdelavo prevajalnih matrik je bilo število podjetij (vir: ;;;;;;;;;;;
Statistièni poslovni register), ki se po SKD 2008 ne uvršèajo v isto ;;;;;;;;;;;
dejavnost, kot so se po SKD 2002, ampak v neko novo dejavnost. ;;;;;;;;;;;
;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;
- (seznam HREF= ;;;;;;;;;;;
http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=8234;;;;;;;;;;;
target=_blank) Metodološka pojasnila;;;;;;;;;;;
;;;;;;;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;;;;;;;
teritorialnih enot v Evropski uniji (The Classification  of ;;;;;;;;;;;
Territorial Units for Statistics) NUTS ((seznam ;;;;;;;;;;;
HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in ;;;;;;;;;;;
pojasnila), raven NUTS 3. Opombe o spremembah posameznih regij so ;;;;;;;;;;;
zapisane k vsaki spremenjeni regiji in so ob izpisu tabele na zaslon ;;;;;;;;;;;
dostopne s klikom na ikono za opombe (zvezdica). V opombah je na ;;;;;;;;;;;
zaèetku naveden datum, s katerim je opisana teritorialna sprememba ;;;;;;;;;;;
upoštevana pri teritorialnem razvršèanju enot za statistiène namene. ;;;;;;;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;;;;;;;
teritorialnih enot v Evropski uniji (The Classification of ;;;;;;;;;;;
Territorial Units for Statistics) NUTS ((seznam ;;;;;;;;;;;
HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in ;;;;;;;;;;;
pojasnila), raven NUTS 2.;;;;;;;;;;;
